FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
3,1,H,3,0,H,1.2,5.0,11.0,1.25,5.0,10.0,1.25,4.5,9.0,1.25,4.5,10.0,1.22,5.0,10.0,1.25,4.5,10.0
0,3,A,0,1,A,1.571,3.5,5.0,1.65,3.5,4.75,1.65,3.3,4.4,1.571,3.5,5.0,1.57,3.5,5.25,1.57,3.5,5.0
0,3,A,0,2,A,1.833,3.2,3.75,1.85,3.25,4.0,1.8,3.1,3.8,1.8,3.25,3.75,1.8,3.25,4.0,1.72,3.4,4.0
0,1,A,0,1,A,1.8,3.3,3.75,1.85,3.25,3.9,1.9,3.1,3.5,1.8,3.25,3.75,1.85,3.25,3.75,1.9,3.2,3.5
4,1,H,3,1,H,1.667,3.3,4.5,1.65,3.4,4.75,1.7,3.2,4.2,1.615,3.5,4.5,1.61,3.4,5.0,1.61,3.3,5.0
2,2,D,1,0,H,2.375,3.1,2.625,2.35,3.2,2.75,2.3,3.0,2.7,2.375,3.2,2.6,2.3,3.1,2.8,2.3,3.1,2.75
3,2,H,2,2,D,1.727,3.3,4.2,1.75,3.4,4.3,1.75,3.2,4.0,1.727,3.4,4.0,1.7,3.25,4.5,1.72,3.25,4.2
0,2,A,0,0,D,2.625,3.1,2.375,2.65,3.25,2.4,2.5,3.0,2.5,2.5,3.25,2.4,2.62,3.2,2.37,2.62,3.2,2.3
1,0,H,0,0,D,1.833,3.2,3.75,2.0,3.25,3.4,1.9,3.1,3.5,1.833,3.4,3.5,1.9,3.25,3.5,1.9,3.2,3.5
1,1,D,1,1,D,2.4,3.25,2.5,2.5,3.25,2.55,2.5,3.0,2.5,2.4,3.25,2.5,2.5,3.2,2.5,2.37,3.1,2.62
4,0,H,1,0,H,1.571,3.5,5.0,1.55,3.7,5.5,1.5,3.7,5.0,1.5,3.4,6.0,1.53,3.6,5.5,1.44,3.6,6.5
1,2,A,1,1,D,2.25,3.2,2.75,2.4,3.25,2.65,2.5,3.0,2.5,2.25,3.4,2.625,2.25,3.2,2.8,2.2,3.2,2.8
2,2,D,0,2,A,2.0,3.2,3.2,2.05,3.15,3.4,2.0,3.1,3.2,2.0,3.2,3.2,2.0,3.25,3.25,1.83,3.3,3.6
3,3,D,3,1,H,4.5,3.3,1.667,4.5,3.45,1.7,3.6,3.1,1.85,4.0,3.4,1.727,4.2,3.4,1.72,4.0,3.4,1.72
1,1,D,1,0,H,2.4,3.25,2.5,2.5,3.25,2.55,2.5,3.0,2.5,2.5,3.25,2.4,2.37,3.2,2.62,2.3,3.2,2.62
1,1,D,0,0,D,1.571,3.5,5.0,1.6,3.65,4.95,1.6,3.4,4.6,1.571,3.5,5.0,1.57,3.6,5.0,1.61,3.3,5.0
1,2,A,1,0,H,2.625,3.1,2.375,2.75,3.3,2.3,2.9,3.0,2.2,2.6,3.2,2.375,2.62,3.2,2.37,2.6,3.1,2.4
0,0,D,0,0,D,1.833,3.2,3.75,2.0,3.25,3.4,1.85,3.1,3.6,1.833,3.25,3.6,2.0,3.2,3.3,1.83,3.3,3.6
2,0,H,2,0,H,1.25,4.5,11.0,1.23,5.5,10.0,1.25,4.5,9.0,1.2,5.0,11.0,1.2,5.5,10.0,1.22,5.0,9.5
3,1,H,0,0,D,1.533,3.5,5.5,1.55,3.6,5.75,1.5,3.7,5.0,1.5,3.4,6.0,1.5,3.5,6.0,1.5,3.4,6.0
