FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,VCH,VCD,VCA
2.0,1.0,H,1.0,0.0,H,1.57,4.0,5.5,1.55,3.8,5.8,1.6,3.6,5.0,1.57,3.8,6.0,1.57,3.5,6.5
1.0,3.0,A,1.0,0.0,H,2.1,3.4,3.4,2.15,3.3,3.2,2.1,3.3,3.1,2.2,3.2,3.3,2.25,3.12,3.25
1.0,3.0,A,0.0,0.0,D,2.2,3.3,3.25,2.2,3.3,3.1,2.2,3.3,2.9,2.25,3.25,3.2,2.15,3.3,3.2
2.0,1.0,H,0.0,0.0,D,2.38,3.4,2.88,2.35,3.3,2.85,2.3,3.2,2.8,2.3,3.3,3.1,2.4,3.25,2.88
2.0,1.0,H,1.0,1.0,D,2.6,3.25,2.7,2.6,3.2,2.6,2.3,3.3,2.75,2.62,3.2,2.7,2.75,3.25,2.5
4.0,1.0,H,4.0,1.0,H,2.88,3.4,2.38,2.7,3.3,2.45,2.5,3.3,2.5,2.7,3.4,2.5,2.62,3.25,2.6
1.0,1.0,D,1.0,1.0,D,1.91,3.4,4.0,1.9,3.3,3.95,2.0,3.3,3.3,1.91,3.4,4.0,1.91,3.25,4.0
0.0,2.0,A,0.0,2.0,A,2.38,3.4,2.88,2.35,3.3,2.85,2.3,3.3,2.75,2.5,3.3,2.8,2.5,3.25,2.75
2.0,0.0,H,1.0,0.0,H,3.1,3.4,2.25,3.1,3.3,2.2,3.0,3.2,2.2,3.1,3.3,2.3,3.2,3.3,2.2
2.0,0.0,H,2.0,0.0,H,7.0,4.33,1.44,6.5,4.2,1.45,5.3,3.9,1.53,7.0,4.4,1.44,5.5,4.4,1.5
1.0,3.0,A,1.0,0.0,H,3.1,3.5,2.2,3.1,3.3,2.2,2.8,3.2,2.3,2.9,3.3,2.25,3.12,3.25,2.25
1.0,2.0,A,1.0,1.0,D,1.91,3.4,4.0,1.9,3.4,3.8,2.0,3.3,3.3,2.0,3.3,3.4,1.85,3.4,4.0
1.0,2.0,A,0.0,1.0,A,1.33,4.75,10.0,1.33,4.75,8.5,1.35,4.5,7.3,1.35,4.6,7.5,1.4,4.6,7.0
0.0,1.0,A,0.0,0.0,D,3.2,3.4,2.2,3.05,3.35,2.2,2.7,3.3,2.3,3.0,3.25,2.2,3.0,3.3,2.3
4.0,2.0,H,2.0,1.0,H,1.4,4.75,7.0,1.35,4.65,8.0,1.35,4.5,7.3,1.35,4.6,7.5,1.4,4.5,7.0
