FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,B365H,B365D,B365A,BWH,BWD,BWA,PSH,PSD,PSA,WHH,WHD,WHA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5
0,0,D,0,0,D,8,6,1,3,2.5,3.25,2.9,2.45,3.2,3.0,2.6,3.22,3.01,2.55,3.1,3.0,2.66,3.27,3.13,2.53,3.16,2.97,2.3,1.61,2.41,1.63,2.46,1.7,2.31,1.61
2,0,H,0,0,D,4,9,2,2,2.75,3.1,2.75,2.85,3.1,2.65,2.92,3.02,2.82,2.8,3.0,2.75,2.92,3.22,2.89,2.82,3.0,2.75,2.5,1.53,2.74,1.51,2.77,1.56,2.61,1.49
0,2,A,0,1,A,12,6,3,4,2.8,3.0,2.75,2.75,3.0,2.8,2.87,3.04,2.86,2.8,2.9,2.88,2.93,3.08,2.97,2.8,2.95,2.82,2.75,1.44,2.84,1.48,2.91,1.53,2.7,1.46
0,1,A,0,0,D,7,11,2,4,2.8,3.2,2.6,2.95,3.0,2.65,2.88,3.32,2.64,2.8,3.2,2.62,2.99,3.35,2.76,2.83,3.21,2.59,2.2,1.66,2.23,1.72,2.28,1.77,2.18,1.68
1,1,D,1,0,H,8,8,3,2,2.8,3.2,2.6,2.8,3.2,2.6,2.98,3.3,2.57,2.9,3.2,2.55,3.04,3.38,2.65,2.88,3.2,2.55,2.3,1.61,2.34,1.66,2.39,1.73,2.25,1.65
1,1,D,0,1,A,15,10,4,3,1.57,4.0,6.0,1.57,4.0,6.0,1.57,4.21,6.36,1.55,4.0,6.5,1.6,4.3,6.5,1.57,4.1,5.92,1.9,1.9,1.85,2.05,1.92,2.07,1.84,1.97
4,2,H,2,2,D,14,19,8,8,2.1,3.5,3.5,2.05,3.6,3.5,2.14,3.48,3.66,2.05,3.5,3.6,2.16,3.7,3.72,2.1,3.46,3.53,1.8,2.0,1.85,2.05,1.9,2.1,1.81,2.0
2,1,H,0,0,D,14,12,8,4,1.57,4.0,6.0,1.6,4.1,5.5,1.61,4.12,5.93,1.6,3.9,6.0,1.65,4.2,6.5,1.6,4.05,5.72,1.9,1.9,1.92,1.98,1.97,2.02,1.87,1.94
1,0,H,0,0,D,7,10,1,3,1.95,3.25,4.33,1.91,3.25,4.5,2.02,3.24,4.4,2.0,3.1,4.4,2.06,3.32,4.6,1.99,3.18,4.36,2.75,1.44,2.85,1.47,2.91,1.52,2.72,1.45
2,1,H,1,0,H,23,9,6,3,2.2,3.6,3.1,2.25,3.5,3.1,2.25,3.58,3.22,2.25,3.4,3.2,2.34,3.7,3.35,2.24,3.5,3.17,2.0,1.8,2.08,1.82,2.12,1.88,2.02,1.8
