FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,WHH,WHD,WHA
0.0,0.0,D,0.0,0.0,D,1.727,3.25,4.333,1.66,3.3,4.5
2.0,3.0,A,2.0,1.0,H,2.8,3.25,2.2,2.75,3.1,2.3
2.0,2.0,D,1.0,0.0,H,2.25,3.25,2.75,2.3,3.1,2.75
4.0,1.0,H,3.0,1.0,H,1.727,3.25,4.333,1.72,3.2,4.33
3.0,0.0,H,2.0,0.0,H,1.667,3.4,4.5,1.66,3.3,4.5
1.0,0.0,H,0.0,0.0,D,1.2,5.0,12.0,1.2,5.0,11.0
0.0,0.0,D,0.0,0.0,D,2.25,3.25,2.75,2.62,3.1,2.37
2.0,0.0,H,2.0,0.0,H,1.222,5.0,10.0,1.22,5.0,9.5
0.0,1.0,A,0.0,0.0,D,3.0,3.25,2.1,3.2,3.0,2.1
4.0,0.0,H,0.0,0.0,D,1.571,3.4,5.5,1.57,3.5,5.0
2.0,2.0,D,2.0,1.0,H,2.75,3.25,2.25,2.7,3.0,2.37
0.0,1.0,A,0.0,1.0,A,2.625,3.2,2.375,2.5,3.1,2.5
1.0,2.0,A,1.0,1.0,D,2.1,3.25,3.0,2.1,3.1,3.1
3.0,0.0,H,1.0,0.0,H,1.333,4.333,7.5,1.28,4.33,8.5
1.0,0.0,H,1.0,0.0,H,2.5,3.2,2.5,2.62,3.25,2.3
2.0,2.0,D,1.0,0.0,H,2.0,3.25,3.25,1.83,3.2,3.75
0.0,1.0,A,0.0,1.0,A,2.1,3.0,3.25,2.1,3.1,3.1
1.0,0.0,H,1.0,0.0,H,1.833,3.25,3.75,1.8,3.1,4.0
1.0,3.0,A,0.0,1.0,A,3.75,3.25,1.833,4.2,3.25,1.72
2.0,2.0,D,1.0,0.0,H,4.0,3.5,1.727,4.33,3.2,1.72
5.0,2.0,H,3.0,0.0,H,1.17,5.5,13.0,1.16,5.5,12.0
0.0,1.0,A,0.0,1.0,A,2.4,3.2,2.6,2.5,3.1,2.5
1.0,0.0,H,0.0,0.0,D,2.2,3.25,2.8,2.2,3.2,2.8
2.0,2.0,D,1.0,1.0,D,3.0,3.25,2.1,3.0,3.2,2.1
1.0,1.0,D,0.0,0.0,D,1.67,3.4,4.5,1.66,3.3,4.5
0.0,1.0,A,0.0,0.0,D,1.5,3.4,6.5,1.36,3.75,8.0
1.0,1.0,D,0.0,0.0,D,3.0,3.25,2.1,3.2,3.2,2.0
2.0,1.0,H,1.0,0.0,H,4.0,3.25,1.8,4.0,3.1,1.8
3.0,1.0,H,2.0,1.0,H,1.727,3.25,4.333,1.72,3.2,4.33
1.0,0.0,H,0.0,0.0,D,2.2,3.25,2.8,2.2,3.2,2.8
1.0,1.0,D,0.0,1.0,A,5.0,3.4,1.615,5.5,3.4,1.53
2.0,1.0,H,1.0,1.0,D,1.667,3.4,4.5,1.57,3.3,5.5
1.0,0.0,H,0.0,0.0,D,2.625,3.2,2.375,2.87,3.1,2.2
0.0,2.0,A,0.0,2.0,A,1.727,3.5,4.0,1.72,3.2,4.33
1.0,0.0,H,0.0,0.0,D,2.5,3.0,2.625,2.5,3.1,2.5
