FTHG,FTAG,FTR,HTHG,HTAG,HR,B365H,B365D,B365A,IWH,IWD,IWA,WHH,WHD,WHA,VCH,VCD,VCA
0.0,2.0,A,0.0,1.0,0.0,1.67,3.6,5.5,1.7,3.5,4.9,1.7,3.4,5.5,1.7,3.4,5.0
0.0,2.0,A,0.0,1.0,0.0,3.6,3.25,2.1,3.2,3.2,2.2,3.5,3.2,2.15,3.25,3.2,2.2
0.0,1.0,A,0.0,1.0,0.0,2.25,3.25,3.25,2.2,3.2,3.2,2.3,3.2,3.2,2.25,3.2,3.1
2.0,1.0,H,1.0,1.0,0.0,1.17,6.5,21.0,1.2,5.5,14.0,1.17,6.5,21.0,1.17,6.0,17.0
1.0,6.0,A,0.0,3.0,0.0,3.2,3.25,2.3,3.1,3.1,2.3,3.2,3.2,2.3,2.9,3.3,2.3
0.0,1.0,A,0.0,1.0,0.0,2.63,3.2,2.75,2.5,3.2,2.7,2.75,3.2,2.6,2.62,3.2,2.62
2.0,0.0,H,2.0,0.0,0.0,1.91,3.3,4.33,1.9,3.3,3.9,2.0,3.2,4.0,1.9,3.25,4.0
0.0,2.0,A,0.0,1.0,0.0,2.63,3.3,2.7,2.55,3.3,2.55,2.62,3.2,2.7,2.5,3.25,2.62
1.0,0.0,H,1.0,0.0,0.0,1.2,6.0,17.0,1.2,5.7,12.0,1.2,5.5,19.0,1.17,6.0,17.0
2.0,1.0,H,1.0,0.0,0.0,3.2,3.25,2.3,3.1,3.1,2.3,3.2,3.2,2.3,3.0,3.25,2.25
1.0,3.0,A,1.0,0.0,0.0,6.5,4.0,1.53,6.7,3.8,1.5,7.5,3.8,1.5,6.5,3.5,1.57
0.0,1.0,A,0.0,1.0,0.0,1.73,3.6,5.25,1.75,3.5,4.6,1.8,3.25,5.0,1.67,3.5,5.0
1.0,0.0,H,0.0,0.0,0.0,2.0,3.3,4.0,2.15,3.25,3.25,2.05,3.25,3.75,2.0,3.25,3.5
1.0,0.0,H,1.0,0.0,0.0,9.5,5.0,1.33,8.5,4.5,1.35,11.0,4.5,1.33,9.5,4.5,1.33
1.0,5.0,A,1.0,3.0,0.0,3.75,3.5,2.0,3.6,3.3,2.0,4.0,3.2,2.0,3.4,3.25,2.0
4.0,0.0,H,2.0,0.0,0.0,1.25,5.5,13.0,1.22,5.3,13.0,1.25,5.0,15.0,1.29,4.5,11.0
4.0,1.0,H,2.0,1.0,0.0,1.17,7.0,19.0,1.2,5.5,14.0,1.17,6.5,19.0,1.17,6.5,15.0
0.0,0.0,D,0.0,0.0,0.0,2.3,3.2,3.25,2.2,3.2,3.2,2.3,3.2,3.2,2.1,3.25,3.4
1.0,0.0,H,0.0,0.0,0.0,2.6,3.25,2.8,2.3,3.25,2.95,2.5,3.2,2.88,2.4,3.25,2.8
1.0,0.0,H,1.0,0.0,0.0,1.33,4.5,12.0,1.35,4.5,8.5,1.36,4.33,10.0,1.33,4.5,9.0
2.0,1.0,H,1.0,1.0,0.0,2.1,3.25,3.75,2.1,3.25,3.4,2.1,3.2,3.6,2.0,3.2,3.75
0.0,5.0,A,0.0,0.0,0.0,6.5,4.0,1.53,5.6,3.6,1.6,7.0,3.75,1.53,7.0,3.75,1.5
1.0,0.0,H,1.0,0.0,0.0,3.4,3.3,2.2,3.0,3.2,2.3,3.2,3.3,2.25,3.0,3.25,2.25
0.0,2.0,A,0.0,1.0,0.0,6.5,3.8,1.57,6.0,3.7,1.55,7.0,3.5,1.57,6.5,3.75,1.5
1.0,2.0,A,0.0,0.0,0.0,3.1,3.25,2.38,3.05,3.2,2.25,3.1,3.3,2.3,3.0,3.25,2.3
1.0,3.0,A,0.0,2.0,0.0,1.44,4.2,8.0,1.4,4.3,7.5,1.44,4.0,8.0,1.4,4.0,8.0
0.0,0.0,D,0.0,0.0,0.0,2.2,3.3,3.5,2.2,3.2,3.2,2.2,3.2,3.4,2.2,3.2,3.2
2.0,3.0,A,1.0,1.0,1.0,7.0,4.0,1.53,6.0,3.7,1.55,7.0,3.75,1.53,6.0,3.6,1.57
3.0,0.0,H,1.0,0.0,0.0,1.14,8.0,21.0,1.17,6.0,15.0,1.14,7.0,21.0,1.14,6.5,17.0
2.0,1.0,H,0.0,1.0,0.0,2.2,3.3,3.5,2.0,3.3,3.6,2.15,3.2,3.5,2.1,3.2,3.4
