FTHG,FTAG,FTR,HTHG,HTAG,HS,HST,HR,B365H,B365D,B365A,BWH,BWD,BWA,PSH,PSD,PSA,WHH,WHD,WHA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,B365C>2.5,B365C<2.5
0,3,A,0,1,5,2,0,6.0,4.33,1.53,5.5,4.25,1.57,6.16,4.51,1.56,6.5,4.2,1.53,6.55,4.55,1.6,5.94,4.34,1.55,1.72,2.1,1.8,2.13,1.84,2.18,1.76,2.1,2.0,1.8
1,0,H,1,0,5,3,0,3.1,3.25,2.37,3.0,3.2,2.45,3.32,3.29,2.4,3.2,3.2,2.35,3.36,3.36,2.5,3.18,3.22,2.39,2.2,1.66,2.34,1.68,2.36,1.73,2.24,1.67,2.2,1.66
4,3,H,3,2,22,6,0,1.28,6.0,9.5,1.26,6.25,10.5,1.31,6.25,9.92,1.27,6.0,10.0,1.35,6.5,10.75,1.3,5.96,9.68,1.53,2.5,1.56,2.6,1.56,2.68,1.52,2.53,1.5,2.62
0,2,A,0,0,15,3,0,2.15,3.4,3.4,2.15,3.4,3.4,2.18,3.61,3.5,2.15,3.5,3.4,2.24,3.7,3.6,2.15,3.48,3.42,1.9,1.9,2.0,1.91,2.05,1.95,1.97,1.86,1.9,1.9
0,3,A,0,0,7,1,0,3.8,3.6,1.95,3.7,3.6,2.0,4.0,3.59,2.0,3.8,3.6,1.95,4.0,3.82,2.04,3.87,3.57,1.97,1.9,1.9,2.0,1.91,2.02,2.03,1.92,1.9,2.2,1.66
0,1,A,0,0,9,5,0,1.83,3.6,4.33,1.85,3.6,4.33,1.94,3.57,4.3,1.88,3.5,4.33,1.98,3.68,4.5,1.9,3.55,4.2,1.9,1.9,2.01,1.9,2.04,1.95,1.94,1.88,2.0,1.8
1,3,A,0,1,13,3,0,5.0,4.33,1.61,5.0,4.1,1.65,5.36,4.34,1.65,5.25,4.0,1.65,5.36,4.35,1.71,5.12,4.13,1.65,1.72,2.1,1.79,2.14,1.84,2.18,1.76,2.08,1.72,2.1
0,2,A,0,2,9,2,0,3.25,3.1,2.37,3.4,3.1,2.3,3.41,3.03,2.46,3.3,3.1,2.38,3.46,3.24,2.52,3.36,3.0,2.41,2.62,1.5,2.84,1.48,2.88,1.53,2.68,1.48,3.2,1.36
5,2,H,2,1,17,7,0,1.5,4.2,6.5,1.55,4.2,6.0,1.55,4.33,6.46,1.52,4.2,6.5,1.59,4.5,7.0,1.54,4.25,6.3,1.87,2.03,1.87,2.05,1.9,2.13,1.81,2.03,1.9,1.9
4,3,H,2,1,10,7,0,1.61,3.9,5.75,1.62,4.0,5.5,1.65,4.05,5.61,1.63,3.9,5.5,1.7,4.15,6.0,1.64,3.97,5.5,1.97,1.93,1.96,1.96,1.99,2.0,1.93,1.91,2.01,1.89
1,3,A,0,1,13,4,0,1.3,5.5,9.5,1.33,5.25,9.25,1.3,5.88,9.8,1.3,5.5,10.0,1.36,6.1,11.0,1.32,5.57,9.56,1.66,2.2,1.67,2.29,1.74,2.31,1.66,2.24,1.66,2.2
2,1,H,1,1,7,3,0,1.53,4.5,5.5,1.53,4.33,6.0,1.54,4.58,6.09,1.52,4.4,6.0,1.57,4.75,6.55,1.53,4.51,5.91,1.66,2.2,1.66,2.36,1.7,2.41,1.64,2.3,1.66,2.2
2,5,A,1,1,14,7,0,3.0,3.3,2.37,3.1,3.25,2.4,3.12,3.39,2.41,3.1,3.3,2.35,3.25,3.5,2.44,3.1,3.35,2.37,2.02,1.88,1.99,1.93,2.06,1.96,1.97,1.87,2.02,1.88
0,3,A,0,2,6,0,0,2.6,3.1,2.87,2.75,3.1,2.75,2.66,3.22,2.91,2.7,3.2,2.75,2.82,3.35,2.91,2.68,3.15,2.82,2.37,1.57,2.43,1.63,2.5,1.66,2.38,1.59,2.2,1.66
0,2,A,0,0,5,3,1,3.1,3.6,2.2,3.1,3.7,2.2,3.2,3.85,2.19,3.2,3.6,2.2,3.32,3.88,2.26,3.15,3.72,2.18,1.61,2.3,1.62,2.44,1.68,2.46,1.61,2.35,1.61,2.3
4,2,H,1,1,14,6,0,1.61,4.0,5.5,1.6,4.0,5.75,1.63,4.13,5.79,1.62,3.9,5.8,1.69,4.15,6.05,1.63,3.98,5.64,1.9,1.9,2.01,1.91,2.03,1.96,1.95,1.88,1.9,2.0
1,0,H,0,0,18,2,0,2.7,3.1,2.75,2.7,3.2,2.7,2.77,3.22,2.78,2.7,3.2,2.7,2.81,3.4,2.85,2.71,3.19,2.75,2.2,1.66,2.34,1.67,2.38,1.75,2.25,1.66,2.2,1.66
1,3,A,0,2,10,1,0,6.5,4.33,1.5,6.5,4.5,1.48,6.27,4.35,1.56,6.5,4.2,1.53,6.55,4.55,1.59,6.11,4.35,1.54,1.72,2.1,1.76,2.19,1.77,2.29,1.7,2.18,1.8,2.0
